id,publish_date,headline_category,headline_text
302,20010105,unknown,Malaysian medics testify about demonstrators' injuries
303,20010105,unknown,Philippine soldiers arrest bombing suspects
304,20010105,unknown,Chinese stranded in Dhaka repatriated
305,20010105,unknown,It's long haul yet for the LCA
306,20010105,unknown,Captain Courageous says dream has come true
307,20010105,unknown,LCA to be good enough for next 45 yrs
308,20010105,unknown,LCA to be top in avionics; strike capability
309,20010105,unknown,Light combat craft takes India into club class
310,20010105,unknown,Hawkings' day out
311,20010105,unknown,Easy drugs at raves keep Goa hot on tourist circuit
312,20010105,unknown,CM defends grant to Chaturang
313,20010105,unknown,Faleiro vows to fight common cadre proposal
314,20010105,unknown,Sawant questions casino licences
315,20010105,unknown,MPT posts good show in 2000
316,20010105,unknown,Ex-GPCC chief against separate cadre
317,20010105,unknown,Meeting to review anti-defection law
318,20010105,unknown,Telecom team win play contest
319,20010105,unknown,Guala Closures bags ISO 9002 certificate
320,20010105,unknown,Bush names Lindsey top economic aide
321,20010105,unknown,Bush names Lindsey top economic aide
322,20010105,unknown,Indian American boy confesses to parents' murder
323,20010105,unknown,Indian American boy confesses to parents' murder
324,20010105,unknown,Anti-immigration think-tank berates Clinton regime
325,20010105,unknown,Sikh teacher guilty of assaulting student
326,20010105,unknown,Australia; New Zealand urged to accept Indo-Fijian refugees
327,20010105,unknown,If Rabuka can go free; why not us: Speight partner
328,20010105,unknown,Tailor Sam's famous clientele
329,20010105,unknown,Malaysian medics testify about demonstrators' injuries
330,20010105,unknown,Philippine soldiers arrest bombing suspects
331,20010105,unknown,Chinese stranded in Dhaka repatriated
332,20010105,unknown,Light combat craft takes India into club class
333,20010105,unknown,It's long haul yet for the LCA
334,20010105,unknown,Captain Courageous says dream has come true
335,20010105,unknown,LCA to be good enough for next 45 yrs
336,20010105,unknown,LCA to be top in avionics; strike capability
337,20010105,unknown,CM asks KPTC to keep power tariff hike in abeyance
338,20010105,unknown,Gowda and Hegde share dais; but fail to talk
339,20010105,unknown,This cactus is all set to break records
340,20010105,unknown,Function can't be stopped: Kharge
341,20010105,unknown,Think twice before you make a wish
342,20010105,unknown,LCA: Best weapon system for close combat
343,20010105,unknown,LCA test flight puts India in exclusive club
344,20010105,unknown,A dream-come-true for LCA pilot
